YT,AMAV,AMBI,AMCO,AMGO,AMRO,AMWI,BASP,BASW,BCNH,BHCO,BLTE,BOBO,BRBL,BWTE,CAEG,CANG,CCLO,CCSP,COGR,CONI,COYE,DICK,EABL,EAKI,FRGU,GADW,GHOW,GREG,GRSP,GWTE,HESP,HOGR,HOLA,KILL,LESC,LESP,LEYE,MAGO,MALL,MAWR,MODO,NESP,NOHA,NOPI,NSHO,OROR,RBGU,RNDU,RUDU,RWBL,SAVS,SEWR,SORA,SPPI,STGR,SWHA,TRES,UPSA,WEKI,WEME,WILL,WIPH,WISN,YEWA,YHBL,YEAR.x,Transect.x,meanpopr.x,meanbrin.x,meanNC3.x,meanIC3.x,meanNC4.x,meanIC4.x,meanNleg.x,meanIleg.x,meanNForb.x,meanIForb.x,meanNWood.x,meanIWood.x,meanBare.x,meanDead.x,R.x,ld.x,TRT.x,bloop1.x,TSF.x,Season.x,SiteName.x,toposd15_var_2.x,FocalSt_TWI15_2.x,YEAR.y,Transect.y,meanpopr.y,meanbrin.y,meanNC3.y,meanIC3.y,meanNC4.y,meanIC4.y,meanNleg.y,meanIleg.y,meanNForb.y,meanIForb.y,meanNWood.y,meanIWood.y,meanBare.y,meanDead.y,R.y,ld.y,TRT.y,bloop1.y,TSF.y,Season.y,SiteName.y,toposd15_var_2.y,FocalSt_TWI15_2.y,Shape.Area,TransectAlone,pasyr,
DNENEE2017,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2017,DNENEE,36.65,14.95,25.95,1.05,0,0,8.95,5.1,11.65,2.85,7.9,0,0.45,10.05,2.6,27.9375,PBG20,DNENEE20174,UNB,NA,Thin Loamy,0.684239,1.539515,2017,DNENEE,36.65,14.95,25.95,1.05,0,0,8.95,5.1,11.65,2.85,7.9,0,0.45,10.05,2.6,27.9375,PBG20,DNENEE20174,UNB,NA,Thin Loamy,0.684239,1.539515,5371.135478,DNENEE,DNE2017,
DNENEE2018,0,0,0,0,1,0,0,0,0,5,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2018,DNENEE,33.65,14.4,14.3,0,7.45,0,14.9,0.15,22.05,3,4.2,0,1.95,6.9,3.25,27.45,PBG20,DNENEE20181,UNB,NA,Thin Loamy,0.684239,1.539515,2018,DNENEE,33.65,14.4,14.3,0,7.45,0,14.9,0.15,22.05,3,4.2,0,1.95,6.9,3.25,27.45,PBG20,DNENEE20181,UNB,NA,Thin Loamy,0.684239,1.539515,5371.135478,DNENEE,DNE2018,
DNENEE2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2019,DNENEE,25.1,13.65,10.6,0,7.7,0.3,5.5,3.1,10.7,5,2.7,0,1.35,4.2,3.3375,36.2875,PBG20,DNENEE20191,UNB,NA,Thin Loamy,0.684239,1.539515,2019,DNENEE,25.1,13.65,10.6,0,7.7,0.3,5.5,3.1,10.7,5,2.7,0,1.35,4.2,3.3375,36.2875,PBG20,DNENEE20191,UNB,NA,Thin Loamy,0.684239,1.539515,5371.135478,DNENEE,DNE2019,
DNENEE2020,0,0,2,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2020,DNENEE,21.1,6.55,8.15,0.15,0,0,4.45,0.75,10.2,0.3,3.6,0,3.1,15.4,3.075,36.025,PBG20,DNENEE20201,UNB,NA,Thin Loamy,0.684239,1.539515,2020,DNENEE,21.1,6.55,8.15,0.15,0,0,4.45,0.75,10.2,0.3,3.6,0,3.1,15.4,3.075,36.025,PBG20,DNENEE20201,UNB,NA,Thin Loamy,0.684239,1.539515,5371.135478,DNENEE,DNE2020,
DNENEW2017,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,DNENEW,27.8,18.55,23.9,0,0.15,0,4.8,6.6,15.45,1.2,2.55,0,1.5,15.4,2.2,18,PBG20,DNENEW20171,UNB,NA,Thin Loamy,6.465719,-0.507872,2017,DNENEW,27.8,18.55,23.9,0,0.15,0,4.8,6.6,15.45,1.2,2.55,0,1.5,15.4,2.2,18,PBG20,DNENEW20171,UNB,NA,Thin Loamy,6.465719,-0.507872,178.220715,DNENEW,DNE2017,
DNENEW2018,0,0,0,0,0,0,0,0,0,1,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2018,DNENEW,27.7619,5.142857,10.85714,0,5.952381,0,6.666667,2.428571,26.7619,0,9.047619,0.142857,15.85714,1.428571,2,9.333333,PBG20,DNENEW20181,0,SPRING,Thin Loamy,6.465719,-0.507872,2018,DNENEW,27.7619,5.142857,10.85714,0,5.952381,0,6.666667,2.428571,26.7619,0,9.047619,0.142857,15.85714,1.428571,2,9.333333,PBG20,DNENEW20181,0,SPRING,Thin Loamy,6.465719,-0.507872,178.220715,DNENEW,DNE2018,
DNENEW2019,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2019,DNENEW,32.4,2.55,6.25,0,1.65,0.15,4,1.95,28.3,0.9,0.75,0,9.65,7.3,2.4,9.8875,PBG20,DNENEW20191,1,SPRING,Thin Loamy,6.465719,-0.507872,2019,DNENEW,32.4,2.55,6.25,0,1.65,0.15,4,1.95,28.3,0.9,0.75,0,9.65,7.3,2.4,9.8875,PBG20,DNENEW20191,1,SPRING,Thin Loamy,6.465719,-0.507872,178.220715,DNENEW,DNE2019,
DNENEW2020,0,0,1,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2020,DNENEW,16.45,7.35,15.3,1.5,3.75,0,1.35,1.65,18.9,1.05,5.1,0,3.15,25.4,1.725,22.0125,PBG20,DNENEW20201,2,SPRING,Thin Loamy,6.465719,-0.507872,2020,DNENEW,16.45,7.35,15.3,1.5,3.75,0,1.35,1.65,18.9,1.05,5.1,0,3.15,25.4,1.725,22.0125,PBG20,DNENEW20201,2,SPRING,Thin Loamy,6.465719,-0.507872,178.220715,DNENEW,DNE2020,
DNENWE2017,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,DNENWE,24.19048,12.19048,31.33333,0,4.714286,0,2.142857,8.047619,16.57143,1.285714,3.428571,0,3.857143,9.190476,1.833333,11.59524,PBG20,DNENWE20171,UNB,NA,Thin Loamy,11.79372,0.245933,2017,DNENWE,24.19048,12.19048,31.33333,0,4.714286,0,2.142857,8.047619,16.57143,1.285714,3.428571,0,3.857143,9.190476,1.833333,11.59524,PBG20,DNENWE20171,UNB,NA,Thin Loamy,11.79372,0.245933,2412.371695,DNENWE,DNE2017,
DNENWE2018,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,DNENWE,29.95,8.8,10.35,0,16.15,0,4.65,2.4,26.5,0,3.7,0,7.4,2.7,2.45,12.75,PBG20,DNENWE20181,UNB,NA,Thin Loamy,11.79372,0.245933,2018,DNENWE,29.95,8.8,10.35,0,16.15,0,4.65,2.4,26.5,0,3.7,0,7.4,2.7,2.45,12.75,PBG20,DNENWE20181,UNB,NA,Thin Loamy,11.79372,0.245933,2412.371695,DNENWE,DNE2018,
