mod$group,dist,Pasture,TRT
DNE2017,0.398010699,DNE,PBG20
DNE2017,0.361688772,DNE,PBG20
DNE2017,0.547630553,DNE,PBG20
DNE2017,0.213480017,DNE,PBG20
DNE2017,0.491015117,DNE,PBG20
DNE2017,0.479285255,DNE,PBG20
DNE2017,0.476538092,DNE,PBG20
DNE2017,0.335949736,DNE,PBG20
DNE2018,0.515738098,DNE,PBG20
DNE2018,0.719758712,DNE,PBG20
DNE2018,0.581357074,DNE,PBG20
DNE2018,0.480890547,DNE,PBG20
DNE2018,0.185514312,DNE,PBG20
DNE2018,0.294708328,DNE,PBG20
DNE2018,0.374526625,DNE,PBG20
DNE2018,0.573602342,DNE,PBG20
DNE2019,0.752478642,DNE,PBG20
DNE2019,0.56189369,DNE,PBG20
DNE2019,0.215533514,DNE,PBG20
DNE2019,0.400050886,DNE,PBG20
DNE2019,0.396458638,DNE,PBG20
DNE2019,0.497855946,DNE,PBG20
DNE2019,0.405348073,DNE,PBG20
DNE2019,0.430128835,DNE,PBG20
DNE2020,0.661370931,DNE,PBG20
DNE2020,0.639129453,DNE,PBG20
DNE2020,0.469279744,DNE,PBG20
DNE2020,0.675832023,DNE,PBG20
DNE2020,0.326187208,DNE,PBG20
DNE2020,0.50894027,DNE,PBG20
DNE2020,0.477355296,DNE,PBG20
DNE2020,0.518998025,DNE,PBG20
DNW2017,0.391649697,DNW,PBG40
DNW2017,0.187774026,DNW,PBG40
DNW2017,0.402242121,DNW,PBG40
DNW2017,0.529838092,DNW,PBG40
DNW2017,0.534308905,DNW,PBG40
DNW2017,0.432009428,DNW,PBG40
DNW2017,0.419683404,DNW,PBG40
DNW2017,0.386037749,DNW,PBG40
DNW2018,0.390942593,DNW,PBG40
DNW2018,0.247189089,DNW,PBG40
DNW2018,0.79334882,DNW,PBG40
DNW2018,0.268377406,DNW,PBG40
DNW2018,0.322671312,DNW,PBG40
DNW2018,0.527008312,DNW,PBG40
DNW2018,0.234799307,DNW,PBG40
DNW2018,0.376038977,DNW,PBG40
DNW2019,0.620544098,DNW,PBG40
DNW2019,0.822701217,DNW,PBG40
DNW2019,0.527851333,DNW,PBG40
DNW2019,0.585079377,DNW,PBG40
DNW2019,0.492154357,DNW,PBG40
DNW2019,0.602072325,DNW,PBG40
DNW2019,0.513012158,DNW,PBG40
DNW2019,0.442054268,DNW,PBG40
DNW2020,0.745629467,DNW,PBG40
DNW2020,0.716103387,DNW,PBG40
DNW2020,0.556216481,DNW,PBG40
DNW2020,0.556196094,DNW,PBG40
DNW2020,0.737598656,DNW,PBG40
DNW2020,0.675009725,DNW,PBG40
DNW2020,0.554929203,DNW,PBG40
DNW2020,0.504815793,DNW,PBG40
DSE2017,0.287101731,DSE,PBG20
DSE2017,0.458480139,DSE,PBG20
DSE2017,0.227317237,DSE,PBG20
DSE2017,0.332915623,DSE,PBG20
DSE2017,0.292831411,DSE,PBG20
DSE2017,0.123710639,DSE,PBG20
DSE2017,0.359120618,DSE,PBG20
DSE2017,0.381488481,DSE,PBG20
DSE2018,0.45826307,DSE,PBG20
DSE2018,0.310464138,DSE,PBG20
DSE2018,0.214901558,DSE,PBG20
DSE2018,0.387100639,DSE,PBG20
DSE2018,0.692603025,DSE,PBG20
DSE2018,0.465126077,DSE,PBG20
DSE2018,0.29580488,DSE,PBG20
DSE2018,0.590809673,DSE,PBG20
DSE2019,0.423488973,DSE,PBG20
DSE2019,0.243246741,DSE,PBG20
DSE2019,0.274167138,DSE,PBG20
DSE2019,0.460861963,DSE,PBG20
DSE2019,0.679057519,DSE,PBG20
DSE2019,0.641503614,DSE,PBG20
DSE2019,0.604041023,DSE,PBG20
DSE2019,0.40117973,DSE,PBG20
DSE2020,0.67660762,DSE,PBG20
DSE2020,0.376487938,DSE,PBG20
DSE2020,0.377911121,DSE,PBG20
DSE2020,0.739336781,DSE,PBG20
DSE2020,0.577552551,DSE,PBG20
DSE2020,0.306215918,DSE,PBG20
DSE2020,0.449257636,DSE,PBG20
DSE2020,0.363014283,DSE,PBG20
DSW2017,0.200928617,DSW,PBG40
DSW2017,0.177130745,DSW,PBG40
DSW2017,0.323009403,DSW,PBG40
DSW2017,0.211182146,DSW,PBG40
DSW2017,0.333432244,DSW,PBG40
DSW2017,0.348964707,DSW,PBG40
DSW2017,0.40726348,DSW,PBG40
DSW2017,0.626258671,DSW,PBG40
DSW2018,0.343228412,DSW,PBG40
DSW2018,0.582607549,DSW,PBG40
DSW2018,0.510008004,DSW,PBG40
DSW2018,0.349581448,DSW,PBG40
DSW2018,0.415414972,DSW,PBG40
DSW2018,0.457154975,DSW,PBG40
DSW2018,0.48769882,DSW,PBG40
DSW2018,0.567087911,DSW,PBG40
DSW2019,0.364399693,DSW,PBG40
DSW2019,0.480468143,DSW,PBG40
DSW2019,0.586021998,DSW,PBG40
DSW2019,0.332545676,DSW,PBG40
DSW2019,0.670008823,DSW,PBG40
DSW2019,0.636646266,DSW,PBG40
DSW2019,0.453502493,DSW,PBG40
DSW2019,0.464459221,DSW,PBG40
DSW2020,0.738416592,DSW,PBG40
DSW2020,0.352036123,DSW,PBG40
DSW2020,0.49659615,DSW,PBG40
DSW2020,0.537020581,DSW,PBG40
DSW2020,0.439114271,DSW,PBG40
DSW2020,0.420540096,DSW,PBG40
DSW2020,0.493068815,DSW,PBG40
DSW2020,0.821436,DSW,PBG40
ENE2017,0.39029279,ENE,PBG20
ENE2017,0.226813901,ENE,PBG20
ENE2017,0.264492893,ENE,PBG20
ENE2017,0.244537197,ENE,PBG20
ENE2017,0.419942854,ENE,PBG20
ENE2017,0.40693759,ENE,PBG20
ENE2017,0.694027613,ENE,PBG20
ENE2017,0.453734013,ENE,PBG20
ENE2018,0.864338111,ENE,PBG20
ENE2018,0.632709565,ENE,PBG20
ENE2018,0.766361833,ENE,PBG20
ENE2018,0.359579456,ENE,PBG20
ENE2018,0.346674625,ENE,PBG20
ENE2018,0.379412976,ENE,PBG20
ENE2018,0.362452427,ENE,PBG20
ENE2018,0.85942999,ENE,PBG20
ENE2019,0.643388018,ENE,PBG20
ENE2019,0.5696145,ENE,PBG20
ENE2019,0.439156837,ENE,PBG20
ENE2019,0.535130277,ENE,PBG20
ENE2019,0.459191025,ENE,PBG20
ENE2019,0.612116669,ENE,PBG20
ENE2019,0.683173389,ENE,PBG20
ENE2019,0.389286834,ENE,PBG20
ENE2020,0.608127039,ENE,PBG20
ENE2020,0.616940016,ENE,PBG20
ENE2020,0.484832268,ENE,PBG20
ENE2020,0.511673094,ENE,PBG20
ENE2020,0.495920434,ENE,PBG20
ENE2020,0.417589498,ENE,PBG20
ENE2020,0.46336193,ENE,PBG20
ENE2020,0.574744058,ENE,PBG20
ENW2017,0.433506047,ENW,PBG40
ENW2017,0.285012989,ENW,PBG40
ENW2017,0.343905675,ENW,PBG40
ENW2017,0.424322497,ENW,PBG40
ENW2017,0.276691478,ENW,PBG40
ENW2017,0.271521543,ENW,PBG40
ENW2017,0.351789063,ENW,PBG40
ENW2017,0.44492835,ENW,PBG40
ENW2018,0.571391782,ENW,PBG40
ENW2018,0.44717617,ENW,PBG40
ENW2018,0.483781838,ENW,PBG40
ENW2018,0.361767017,ENW,PBG40
ENW2018,0.383464659,ENW,PBG40
ENW2018,0.476328552,ENW,PBG40
ENW2018,0.463475141,ENW,PBG40
ENW2018,0.654283548,ENW,PBG40
ENW2019,0.485317842,ENW,PBG40
ENW2019,0.483065376,ENW,PBG40
ENW2019,0.50475326,ENW,PBG40
ENW2019,0.456681201,ENW,PBG40
ENW2019,0.39381068,ENW,PBG40
ENW2019,0.432942355,ENW,PBG40
ENW2019,0.451581471,ENW,PBG40
ENW2019,0.416183498,ENW,PBG40
ENW2020,0.374587118,ENW,PBG40
ENW2020,0.411787167,ENW,PBG40
ENW2020,0.35471124,ENW,PBG40
ENW2020,0.476194081,ENW,PBG40
ENW2020,0.440223756,ENW,PBG40
ENW2020,0.539625931,ENW,PBG40
ENW2020,0.425622751,ENW,PBG40
ENW2020,0.616852236,ENW,PBG40
ESE2017,0.291426112,ESE,PBG20
ESE2017,0.463574179,ESE,PBG20
ESE2017,0.361298946,ESE,PBG20
ESE2017,0.54523537,ESE,PBG20
ESE2017,0.587821922,ESE,PBG20
ESE2017,0.341498349,ESE,PBG20
ESE2017,0.436221482,ESE,PBG20
ESE2017,0.318834117,ESE,PBG20
ESE2018,0.380715794,ESE,PBG20
ESE2018,0.570140671,ESE,PBG20
ESE2018,0.234531809,ESE,PBG20
ESE2018,0.735999787,ESE,PBG20
ESE2018,0.619804563,ESE,PBG20
ESE2018,0.382629296,ESE,PBG20
ESE2018,0.497614213,ESE,PBG20
ESE2018,0.550138555,ESE,PBG20
ESE2019,0.708853423,ESE,PBG20
ESE2019,0.454984891,ESE,PBG20
ESE2019,0.589539677,ESE,PBG20
ESE2019,0.412460652,ESE,PBG20
ESE2019,0.269935815,ESE,PBG20
ESE2019,0.451070363,ESE,PBG20
ESE2019,0.349307746,ESE,PBG20
ESE2019,0.54792859,ESE,PBG20
ESE2020,0.630660648,ESE,PBG20
ESE2020,0.42977076,ESE,PBG20
ESE2020,0.442945682,ESE,PBG20
ESE2020,0.811005728,ESE,PBG20
ESE2020,0.294151115,ESE,PBG20
ESE2020,0.452486019,ESE,PBG20
ESE2020,0.523059222,ESE,PBG20
ESE2020,0.593013062,ESE,PBG20
ESW2017,0.329224101,ESW,PBG40
ESW2017,0.284917993,ESW,PBG40
ESW2017,0.526960352,ESW,PBG40
ESW2017,0.679455901,ESW,PBG40
ESW2017,0.302735884,ESW,PBG40
ESW2017,0.235435174,ESW,PBG40
ESW2017,0.441809485,ESW,PBG40
ESW2017,0.471111126,ESW,PBG40
ESW2018,0.525687553,ESW,PBG40
ESW2018,0.195812458,ESW,PBG40
ESW2018,0.561854759,ESW,PBG40
ESW2018,0.35914254,ESW,PBG40
ESW2018,0.549026158,ESW,PBG40
ESW2018,0.609990778,ESW,PBG40
ESW2018,0.516904086,ESW,PBG40
ESW2018,0.481317126,ESW,PBG40
ESW2019,0.511828125,ESW,PBG40
ESW2019,0.517773558,ESW,PBG40
ESW2019,0.369611181,ESW,PBG40
ESW2019,0.51850548,ESW,PBG40
ESW2019,0.68820321,ESW,PBG40
ESW2019,0.493586296,ESW,PBG40
ESW2019,0.571849423,ESW,PBG40
ESW2019,0.494791454,ESW,PBG40
ESW2020,0.530992328,ESW,PBG40
ESW2020,0.473196301,ESW,PBG40
ESW2020,0.4306002,ESW,PBG40
ESW2020,0.633205317,ESW,PBG40
ESW2020,0.485548119,ESW,PBG40
ESW2020,0.634416974,ESW,PBG40
ESW2020,0.387678156,ESW,PBG40
ESW2020,0.60946052,ESW,PBG40
RME2017,0.325796088,RME,SLG
RME2017,0.317151087,RME,SLG
RME2017,0.226301336,RME,SLG
RME2017,0.189583282,RME,SLG
RME2017,0.411308302,RME,SLG
RME2017,0.341587599,RME,SLG
RME2017,0.305604489,RME,SLG
RME2017,0.346008025,RME,SLG
RME2018,0.223831565,RME,SLG
RME2018,0.489712061,RME,SLG
RME2018,0.386096523,RME,SLG
RME2018,0.546444621,RME,SLG
RME2018,0.362468633,RME,SLG
RME2018,0.512375579,RME,SLG
RME2018,0.298239717,RME,SLG
RME2018,0.398024701,RME,SLG
RME2019,0.463289925,RME,SLG
RME2019,0.224057059,RME,SLG
RME2019,0.387991282,RME,SLG
RME2019,0.395062678,RME,SLG
RME2019,0.213704728,RME,SLG
RME2019,0.434893151,RME,SLG
RME2019,0.612270608,RME,SLG
RME2019,0.468421975,RME,SLG
RME2020,0.700842292,RME,SLG
RME2020,0.407712298,RME,SLG
RME2020,0.313124791,RME,SLG
RME2020,0.46043927,RME,SLG
RME2020,0,RME,SLG
RME2020,0.665797188,RME,SLG
RME2020,0.543350426,RME,SLG
RME2020,0.326097573,RME,SLG
RNE2017,0.309897659,RNE,SLG
RNE2017,0.292366643,RNE,SLG
RNE2017,0.271676607,RNE,SLG
RNE2017,0.397622737,RNE,SLG
RNE2017,0.209212316,RNE,SLG
RNE2017,0.379344349,RNE,SLG
RNE2017,0.63656274,RNE,SLG
RNE2017,0.334141318,RNE,SLG
RNE2018,0.281406354,RNE,SLG
RNE2018,0.271956812,RNE,SLG
RNE2018,0.470151563,RNE,SLG
RNE2018,0.385280903,RNE,SLG
RNE2018,0.221298354,RNE,SLG
RNE2018,0.390661922,RNE,SLG
RNE2018,0.535326243,RNE,SLG
RNE2018,0.24365416,RNE,SLG
RNE2019,0.489616443,RNE,SLG
RNE2019,0.286220191,RNE,SLG
RNE2019,0.533168386,RNE,SLG
RNE2019,0.563413456,RNE,SLG
RNE2019,0.631312395,RNE,SLG
RNE2019,0.300655801,RNE,SLG
RNE2019,0.573203954,RNE,SLG
RNE2019,0.344806545,RNE,SLG
RNE2020,0.589410849,RNE,SLG
RNE2020,0.275192527,RNE,SLG
RNE2020,0.524887691,RNE,SLG
RNE2020,0.379115966,RNE,SLG
RNE2020,0.433784477,RNE,SLG
RNE2020,0.349740088,RNE,SLG
RNE2020,0.439596844,RNE,SLG
RNE2020,0.233940649,RNE,SLG
RNW2017,0.497221969,RNW,SLG
RNW2017,0.436899918,RNW,SLG
RNW2017,0.396373439,RNW,SLG
RNW2017,0.395309062,RNW,SLG
RNW2017,0.347404382,RNW,SLG
RNW2017,0.309171076,RNW,SLG
RNW2017,0.320711172,RNW,SLG
